sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
GC100GC1	EC	SPX1/SPX2	MF21	GC1	NA		17335
GC100GC2	Soil	Soil	MF21	GC2	NA		235679
GC102GC1	Soil	Soil	MF21	GC1	102		305957
GC103GC1	Soil	Soil	MF21	GC1	103		217547
GC104GC1	Soil	Soil	MF21	GC1	104		70752
GC105GC1	Soil	Soil	MF21	GC1	105		289075
GC106GC1	Soil	Soil	MF21	GC1	106		239342
GC107GC1	Soil	Soil	MF21	GC1	107		240209
GC109GC1	Soil	Soil	MF21	GC1	109		321658
GC10GC2	EC	Col	MF21	GC2	NA		90835
GC110GC1	Soil	Soil	MF21	GC1	110		212672
GC11GC1	EC	pht1:1	MF21	GC1	11		92153
GC11GC2	EC	pht1:1	MF21	GC2	NA		83658
GC12GC1	EC	pht1:1	MF21	GC1	12		4210
GC12GC2	EC	pht1:1	MF21	GC2	NA		73797
GC13GC1	EC	pht1:1	MF21	GC1	13		1047
GC13GC2	EC	pht1:1	MF21	GC2	NA		76911
GC14GC1	EC	pht1:1	MF21	GC1	14		15851
GC14GC2	EC	pht1:1	MF21	GC2	NA		56504
GC15GC2	EC	pht1:1	MF21	GC2	NA		72656
GC16GC1	EC	pht1:1	MF21	GC1	16		31924
GC16GC2	EC	pht1:1	MF21	GC2	NA		94919
GC17GC1	EC	pht1:1	MF21	GC1	17		6527
GC17GC2	EC	pht1:1	MF21	GC2	NA		50133
GC18GC2	EC	pht1:1	MF21	GC2	NA		81106
GC19GC1	EC	pht1:1	MF21	GC1	NA		4034
GC19GC2	EC	pht1:1	MF21	GC2	NA		55469
GC1GC1	EC	Col	MF21	GC1	1	2014-02-03	1568
GC1GC2	EC	Col	MF21	GC2	NA		52708
GC20GC1	EC	pht1:1	MF21	GC1	20		31770
GC20GC2	EC	pht1:1	MF21	GC2	NA		114653
GC21GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		33670
GC21GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		80795
GC22GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		28011
GC22GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		108820
GC23GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		103243
GC24GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		35288
GC24GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		83310
GC25GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		101617
GC26GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		10855
GC26GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		110946
GC27GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		52019
GC27GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		58806
GC28GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		105169
GC28GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		53875
GC29GC1	EC	pht1:1/pht1:4	MF21	GC1	NA		91436
GC29GC2	EC	pht1:1/pht1:4	MF21	GC2	NA		88181
